"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"ACTL9","-48.5102674871924","8.5557584457672e-22","25858.1351844647","0.998503156917979"
"ACTN1","0.0175500056795028","1.01770491190402","0.317354633026601","0.955898722942623"
"ACTN2","-0.0660920950085154","0.936044655281471","0.105620512194023","0.531478562465135"
"ACTN3","0.0115211819106682","1.01158780634521","0.327036046204709","0.971897067118839"
"ACTN4","1.26648732439081","3.54836638519557","0.469713160682516","0.00701146095579421"
"ACTR2","-0.576908569504881","0.561631931667349","0.593100829880838","0.330702934665861"
"ACTR3","-1.41340893777569","0.243312430859302","0.663320422203421","0.0331049039331294"
"ACTR5","0.113969719635319","1.1207181886149","0.486399508106768","0.814742007532451"
"ACTR6","0.502711127855998","1.65319722957068","0.483147772860373","0.298111633219411"
"ACTR8","0.178764269127124","1.19573883838214","0.568999013925485","0.753389458665922"
"ACTRT1","-43.5502647226505","1.22000144630008e-19","20137.8787959154","0.998274492705615"
"ACTRT2","-41.0171376477077","1.5363262679291e-18","21574.4033948519","0.998483067154025"
"ADAM10","-0.106866550862461","0.898645588467554","0.306130439005587","0.72702302897426"
"ADAM11","0.140127114580049","1.15042002472163","0.170403302088638","0.410891220063942"
"ADAM12","0.227781878897934","1.25581137659497","0.211917701201387","0.282437373536687"
"ADAM15","0.591321958862616","1.80637479086922","0.364253822256875","0.104508438536573"
"ADAM17","-0.049067358761916","0.95211699411656","0.394062313761258","0.900906138693391"
"ADAM18","2.06652451152927","7.8973282931199","1.94569225512085","0.288189177896717"
"ADAM19","-0.0994144236244346","0.90536742461621","0.221251688234443","0.653195567167826"
"ADAM33","-0.0293346528580455","0.971091431560048","0.160273002596395","0.854775041662693"
"ADAT1","-0.0309032127256277","0.969569410515376","0.267769248772162","0.908120260446664"
"ADAT2","0.461204543890147","1.58598322128325","0.353869373294217","0.192466006168322"
"ADAT3","0.114143060687817","1.12091247192342","0.25554468077526","0.655116402851512"
"ADCY1","0.0746804970763914","1.0775398187576","0.175476179544787","0.670408331853318"
"ADCY10","0.106004935052761","1.11182736341969","0.275163133395519","0.700056676905784"
"ADCY2","0.0215155577639673","1.02174868633862","0.0959228687800626","0.822523403343532"
"ADCY3","0.347707704683839","1.41581835217993","0.333586372865209","0.29725784579401"
"ADCY4","0.15230441621352","1.16451467962961","0.241489581592847","0.528244993729076"
"ADCY5","-0.108888921059956","0.896830030894889","0.136754012651973","0.425892951555923"
"ADCY6","0.846700252398342","2.33193933126753","0.395726539223489","0.0323863403435867"
"ADCY7","0.0792511846690377","1.0824761893478","0.33068798096985","0.810597356012232"
"ADCY8","0.0908172062320231","1.09506881520735","0.180160403471696","0.614197554792412"
"ADCY9","0.419103923626431","1.52059837267639","0.333407589704643","0.208742141441691"
"ADD1","-0.364712333555504","0.694396376686147","0.599599018076074","0.543014786284837"
"ADD2","-0.152349737884312","0.858687912525302","0.125494516832658","0.224749566777624"
"ADH4","0.00265451055256508","1.00265803688524","0.179175088681477","0.988179631861796"
"ADH5","-1.19150319441298","0.303764303898281","0.56690561487855","0.0355737405380273"
"ADH6","-0.583379041017091","0.558009639858991","0.434745517478564","0.179632874085678"
"ADH7","-0.0547072261335507","0.946762294638461","0.285343475949977","0.847958313338443"
"ADNP","-0.27639919143267","0.7585100795921","0.607225569108358","0.64897707407416"
"ADRA2B","0.126053570953236","1.13434293448766","0.177003277803885","0.476369493060919"
"ADRA2C","0.0801423989796817","1.08344133763178","0.142701634546519","0.574383035920058"
"ADSL","-0.789930795093435","0.453876204655837","0.614636599082118","0.198722495750981"
"AFMID","-0.374226758192581","0.687820925114217","0.44579632292353","0.401213017114064"
"AFTPH","0.165375878307081","1.17983651032566","0.513283122311797","0.747307004782791"
"AGFG1","-0.111313463713243","0.89465826206919","0.358588869343516","0.756240936284293"
"AGFG2","-0.131610817050545","0.876682118427957","0.359815468948357","0.714534399162088"
"AGXT","0.346525254938958","1.41414520753028","0.238755780100262","0.146674203010097"
"AHCY","-0.25821148562946","0.772431856594343","0.412074659574876","0.530912710871143"
"AHNAK","0.0742606329737745","1.07708749343279","0.283109519096997","0.793087422389021"
"AHRR","0.43725893132232","1.54845696916292","0.223196915472176","0.0501043009554297"
"AIRE","-0.15415282552677","0.85714101797382","0.660626606311324","0.815494798958101"
"AKAP1","0.387150028973444","1.47277743398535","0.373173811121121","0.299525114614926"
